책제목,작가,출판일
스프링 부트 3 백엔드 개발자 되기 : 자바 편 (JPA + OAuth2 + JWT + AWS와 배우는 스프링 부트 3 자바 백엔드 입문자를 위한 풀 패키지(연습문제 수록)),신선영,20230512
Do it! HTML+CSS+자바스크립트 웹 표준의 정석 (한 권으로 끝내는 웹 기본 교과서),고경희,20210122
Do it! 알고리즘 코딩 테스트: 자바 편 (IT 기업 최신 출제 경향 완벽 분석!),김종관,20220405
코딩 개념 잡는 자바 코딩 문제집 (문제를 최대한 많이 풀어라!),안겔 레오나르드,20220930
자바 (Seventh Edition),"Horstmann, Cay S.",20140303
"모던 자바 인 액션 (람다, 스트림, 함수형, 리액티브 프로그래밍으로 새로워진 자바 마스터하기)",앨런 마이크로프트^마리오 푸스코^앨런 마이크로프트,20190801
한 입 크기로 잘라 먹는 리액트 (자바스크립트 기초부터 애플리케이션 배포까지),이정환,20230406
자바 정복 (개정판),김상형,20220506
자바사라사,다케다 린타로,20221231
자바시장,박계상,20090930
자바 ORM 표준 JPA 프로그래밍 (스프링 데이터 예제 프로젝트로 배우는 전자정부 표준 데이터베이스 프레임워크),김영한,20150728
